Year,Sex,Age,Population,MaleBirths,FemaleBirths,TotalBirths,Deaths,Emigrations,Immigrations,Migration_balance,GDP_per_capita,Health_expenditure_pct_GDP,Unemployment
2001,Female,0-4,146530.0,0.0,0.0,0.0,115.0,993.0,1524.0,531.0,38601.897639231,8.00972462,3.613
2001,Female,5-9,149679.0,0.0,0.0,0.0,14.0,816.0,1048.0,232.0,38601.897639231,8.00972462,3.613
2001,Female,10-14,142961.0,0.0,0.0,0.0,10.0,583.0,827.0,244.0,38601.897639231,8.00972462,3.613
2001,Female,15-19,129683.0,737.0,703.0,1440.0,37.0,965.0,1746.0,781.0,38601.897639231,8.00972462,3.613
2001,Female,20-24,135104.0,4330.0,4124.0,8454.0,54.0,2393.0,3376.0,983.0,38601.897639231,8.00972462,3.613
2001,Female,25-29,160921.0,10027.0,9549.0,19576.0,60.0,2006.0,2993.0,987.0,38601.897639231,8.00972462,3.613
2001,Female,30-34,172159.0,9535.0,9080.0,18615.0,84.0,1452.0,2016.0,564.0,38601.897639231,8.00972462,3.613
2001,Female,35-39,162568.0,3838.0,3653.0,7491.0,104.0,980.0,1283.0,303.0,38601.897639231,8.00972462,3.613
2001,Female,40-44,156709.0,562.0,534.0,1096.0,165.0,653.0,875.0,222.0,38601.897639231,8.00972462,3.613
2001,Female,45-49,149989.0,28.0,25.0,53.0,271.0,505.0,514.0,9.0,38601.897639231,8.00972462,3.613
2001,Female,50-54,150774.0,0.0,0.0,0.0,431.0,411.0,398.0,-13.0,38601.897639231,8.00972462,3.613
2001,Female,55-59,122757.0,0.0,0.0,0.0,556.0,341.0,275.0,-66.0,38601.897639231,8.00972462,3.613
2001,Female,60-64,95720.0,0.0,0.0,0.0,685.0,242.0,207.0,-35.0,38601.897639231,8.00972462,3.613
2001,Female,65-69,86557.0,0.0,0.0,0.0,914.0,168.0,123.0,-45.0,38601.897639231,8.00972462,3.613
2001,Female,70-74,89154.0,0.0,0.0,0.0,1623.0,101.0,73.0,-28.0,38601.897639231,8.00972462,3.613
2001,Female,75-79,89678.0,0.0,0.0,0.0,2988.0,40.0,65.0,25.0,38601.897639231,8.00972462,3.613
2001,Female,80+,131192.0,0.0,0.0,0.0,14240.0,46.0,39.0,-7.0,38601.897639231,8.00972462,3.613
2001,Male,0-4,154424.0,0.0,0.0,0.0,162.0,1039.0,1611.0,572.0,38601.897639231,8.00972462,3.849
2001,Male,5-9,158469.0,0.0,0.0,0.0,18.0,864.0,1135.0,271.0,38601.897639231,8.00972462,3.849
2001,Male,10-14,150368.0,0.0,0.0,0.0,15.0,614.0,946.0,332.0,38601.897639231,8.00972462,3.849
2001,Male,15-19,136277.0,0.0,0.0,0.0,98.0,640.0,1324.0,684.0,38601.897639231,8.00972462,3.849
2001,Male,20-24,139832.0,0.0,0.0,0.0,171.0,1724.0,2326.0,602.0,38601.897639231,8.00972462,3.849
2001,Male,25-29,165401.0,0.0,0.0,0.0,172.0,2124.0,2817.0,693.0,38601.897639231,8.00972462,3.849
2001,Male,30-34,179578.0,0.0,0.0,0.0,198.0,1732.0,2167.0,435.0,38601.897639231,8.00972462,3.849
2001,Male,35-39,170814.0,0.0,0.0,0.0,260.0,1373.0,1559.0,186.0,38601.897639231,8.00972462,3.849
2001,Male,40-44,162764.0,0.0,0.0,0.0,300.0,985.0,1073.0,88.0,38601.897639231,8.00972462,3.849
2001,Male,45-49,155674.0,0.0,0.0,0.0,439.0,741.0,672.0,-69.0,38601.897639231,8.00972462,3.849
2001,Male,50-54,157590.0,0.0,0.0,0.0,672.0,590.0,438.0,-152.0,38601.897639231,8.00972462,3.849
2001,Male,55-59,125304.0,0.0,0.0,0.0,882.0,445.0,352.0,-93.0,38601.897639231,8.00972462,3.849
